VarName1,VarName2,VarName3,VarName4,VarName5,VarName6,VarName7,VarName8,VarName9,VarName10,M,M1,M2,min,min1,min2,VarName17,VarName18,VarName19,VarName20,VarName21,VarName22,VarName23,VarName24,VarName25,VarName26,VarName27,VarName28,VarName29,VarName30,VarName31,VarName32,VarName33,VarName34,VarName35,VarName36,VarName37,VarName38,VarName39,G,VarName41,VarName42,VarName43,G1,G2
2689434779712,26231702691,女士,46,3,5,大众用户,69.3,69,69,5650.91,4233.87,3579.13,281,297,576,69.1,4487.97,384.67,0,0,0,0,0,0,1,0,100,1,1,0,0,1,68,68,0,0,0,1,NaN,1,0,0,0,0
2697442927197,27358921188,先生,53,2,1,农村用户,19.2,13.64,12.24,0.02,0.02,0.02,250,198,370,15.03,0.02,272.67,13.2,7.64,6.24,0,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,0,0,0,0,0
2697596026162,25912868422,女士,30,2,1,校园用户,33.94,24,18,2345.84,599.83,1259.24,68,113,104,25.31,1401.64,95,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,18,18,0,0,0,0,NaN,1,0,0,0,0
2694519728363,25988134864,先生,41,3,1,大众用户,16.96,16.2,16.2,0,3910.92,0,21,18,50,16.45,1303.64,29.67,0.76,0,0,0,0,0,0,0,NaN,NaN,0,0,0,1,18,18,0,0,0,0,NaN,1,0,0,0,0
2697510662772,27958259375,女士,31,3,1,大众用户,48.4,48,48.2,1579.82,2773.49,3380.42,66,179,145,48.2,2577.91,130,0,0,0,0,0,0,1,0,60,1,1,0,0,0,88,88,0,0,0,0,NaN,1,0,0,0,0
2697586945261,30659198643,先生,55,1,1,农村用户,46.36,38,41.23,10.59,1.68,10.48,131,6,105,41.86,7.58,80.67,8.36,0,3.23,0,0,0,0,0,NaN,NaN,0,0,0,0,38,38,0,0,0,0,NaN,1,0,0,0,0
2697415601177,28038871811,先生,55,3,1,集团用户,36.89,33.76,33.28,0.01,0.02,0.05,4167,3792,3463,34.64,0.03,3807.33,5.89,2.66,2.28,0,0,0,0,0,NaN,NaN,0,0,0,0,18,18,0,0,0,1,NaN,1,0,0,0,0
2697444798930,26219045465,女士,37,4,1,集团用户,129.1,129,129,6933.29,4871.11,6521.87,1658,1152,904,129.03,6108.76,1238,0,0,0,0,0,0,1,0,200,1,1,1,1,1,99,99,34.38,23.78,31.85,1,NaN,1,0,0,0,0
2697501848985,27971883354,女士,56,2,1,大众用户,19,19,20,0,0,0,221,207,160,19.33,0,196,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,1,18,18,0,0,0,1,NaN,0,0,0,0,0
2697460336288,25870729149,先生,25,3,1,校园用户,28.1,28,29.3,0.03,7788.49,7929.4,268,1034,825,28.47,5239.31,709,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,18,18,0.04,NaN,0,1,NaN,1,0,0,0,0
2697450110749,27458651187,先生,47,3,1,大众用户,43.02,30,30.2,1268.74,915.01,597.3,81,33,36,34.41,927.02,50,0,0,0,13.02,0,0,0,0,NaN,NaN,0,0,0,1,18,18,0,0,0,0,NaN,1,0,0,0,0
2697495592950,30559349769,先生,36,3,1,大众用户,108.9,110.95,111.3,0.26,2147.75,511.27,1114,931,1178,110.38,886.43,1074.33,103.2,104.4,105.6,0,0.85,0,0,0,NaN,NaN,0,0,0,1,15,10,0,0,0,0,NaN,1,0,0,0,0
2697487555440,27458787762,女士,41,3,1,大众用户,30.8,30.83,45.67,11367.78,10692.44,129.38,130,119,141,35.77,7396.53,130,8.22,6.44,4.16,0.58,0.29,37.51,0,0,NaN,NaN,0,0,0,0,10,10,0,0,0,1,NaN,1,0,0,0,0
2697646013331,27971855691,先生,51,NaN,1,校园用户,0,0,45,0,0,2035.04,0,0,6,45,2035.04,6,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,8,8,0,0,0,0,NaN,0,0,0,0,0
2697512899032,27965365864,女士,51,4,1,农村用户,19,19,19,0,0,0,210,207,198,19,0,205,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,1,18,18,0,0,0,0,NaN,1,0,0,0,0
